Nombre,Px,Py,Pz,Ox,Oy,Oz,Ow,Descripción
e3opanel,-0.6578750610351562,1.8532943725585933,-1.0,0.0,0.0,0.0477618555183005,0.9988587513544892,
felipe,-1.2067413330078125,0.6304283142089844,-2.0,0.0,0.0,-0.7111562140010456,0.7030340242745716,
charge_base,-0.6002006530761719,-0.024799346923828125,3.0,0.0,0.0,-0.027193682308878718,0.9996301834390976,
delivery_room,-4.873773574829102,0.5439491271972656,3.0,0.0,0.0,-0.6994041577295541,0.7147263981067251,
julio,-1.3043670654296875,0.4895057678222656,-2.0,0.0,0.0,-0.717744596842033,0.6963064653613864,
john,-1.3324813842773438,2.886962890625,-2.0,0.0,0.0,0.7050751506213069,0.7091325912523986,
juan,-1.137371063232422,-3.745552062988281,-2.0,0.0,0.0,-0.7183039927628436,0.6957293827207218,
david,-1.1603164672851562,-1.5912132263183594,-2.0,0.0,0.0,0.7149810933337246,0.699143787911551,
cristian,-4.932079315185547,-3.170074462890625,-2.0,0.0,0.0,-0.9998600882791258,0.016727338893527895,
daniel,-4.745162963867188,-1.75067138671875,-2.0,0.0,0.0,0.6866325906223245,0.7270045979877124,
paulo,-4.9343109130859375,2.81863784790039,-2.0,0.0,0.0,0.7031434933966655,0.7110479784753863,
e3ipanel_odd,-0.5829658508300781,1.1125221252441406,-1.0,0.0,0.0,-0.12581406382790114,0.9920538399417185,
e3ipanel_even,-0.5166168212890625,1.2255897521972656,-1.0,0.0,0.0,-0.1794904548789136,0.9837597148731801,
